611,478,615,624,748
612,112,598,258,744
206,757,386,888,517
207,572,390,699,517
208,419,391,557,529
209,277,389,415,527
210,139,406,262,529
211,12,404,127,519
238,899,184,963,248
239,825,182,889,246
240,738,180,809,251
241,659,176,730,247
242,565,169,648,252
243,467,169,550,252
244,381,173,464,256
245,298,170,381,253
246,212,170,295,253
247,114,175,189,250
248,30,175,105,250
274,882,109,932,159
275,811,103,868,160
276,744,108,801,165
277,672,100,737,165
278,605,99,670,164
279,528,99,593,164
280,460,96,525,161
281,386,99,451,164
282,318,102,383,167
283,248,101,313,166
284,174,96,239,161
285,94,94,155,155
286,12,97,73,158
309,761,33,811,83
310,711,33,761,83
311,658,32,708,82
312,603,30,657,84
313,544,30,598,84
314,495,30,549,84
315,440,30,494,84
316,385,28,439,82
317,326,25,380,79
318,276,22,330,76
319,219,27,273,81
320,160,30,214,84
321,106,25,156,75
322,52,24,102,74
