613,805,605,951,748
614,464,601,610,747
615,101,600,247,746
211,790,398,921,529
212,664,396,791,523
213,524,406,651,533
214,390,398,528,536
215,256,385,394,523
216,126,398,249,521
217,0,396,106,511
244,935,189,998,264
245,850,188,925,263
246,763,182,838,257
247,685,178,768,261
248,604,179,687,262
249,512,181,595,264
250,428,181,511,264
251,334,185,417,268
252,256,181,339,264
253,171,179,254,262
254,89,185,160,256
255,0,184,71,255
280,933,114,994,175
281,861,116,922,177
282,797,114,858,175
283,725,112,790,177
284,653,107,718,172
285,579,107,644,172
286,508,107,573,172
287,445,109,510,174
288,368,106,433,171
289,302,109,367,174
290,228,105,293,170
291,156,109,221,174
292,84,111,141,168
293,10,109,67,166
313,935,41,985,91
314,885,41,935,91
315,839,39,889,89
316,778,41,828,91
317,726,37,780,91
318,668,37,722,91
319,615,41,669,95
320,567,38,621,92
321,506,36,560,90
322,451,37,505,91
323,392,38,446,92
324,339,36,393,90
325,283,36,337,90
326,229,35,283,89
327,177,36,231,90
328,119,41,169,91
329,70,37,120,87
330,16,40,66,90
